gene	chrom	start	end	bin_index	prediction_stored_as_is	gt_chip_clip0_log1p
BCL11A	chr2	60005424	60005524	0	0.06738421011716128	0.0
BCL11A	chr2	60005524	60005624	1	0.04686139300465584	0.0
BCL11A	chr2	60005624	60005724	2	0.06471693590283394	0.0
BCL11A	chr2	60005724	60005824	3	0.04215758413076401	0.0
BCL11A	chr2	60005824	60005924	4	0.022776696532964706	0.0
BCL11A	chr2	60005924	60006024	5	0.02671231096610427	0.0
BCL11A	chr2	60006024	60006124	6	0.021235198080539704	0.22878369233038207
BCL11A	chr2	60006124	60006224	7	0.015975114544853567	0.0
BCL11A	chr2	60006224	60006324	8	0.016031220145523547	0.22878369233038207
BCL11A	chr2	60006324	60006424	9	0.013570421505719424	0.0
BCL11A	chr2	60006424	60006524	10	0.011962021235376596	0.0
BCL11A	chr2	60006524	60006624	11	0.01240373115055263	0.02064123610978792
BCL11A	chr2	60006624	60006724	12	0.013817727342247963	0.3265504727401197
BCL11A	chr2	60006724	60006824	13	0.014184776498004793	0.22878369233038207
BCL11A	chr2	60006824	60006924	14	0.015890594413504003	0.35144100626188207
BCL11A	chr2	60006924	60007024	15	0.02107977997511625	0.0
BCL11A	chr2	60007024	60007124	16	0.024274002462625503	0.22878369233038207
BCL11A	chr2	60007124	60007224	17	0.024186074174940585	0.0
BCL11A	chr2	60007224	60007324	18	0.02771363316103816	0.0
BCL11A	chr2	60007324	60007424	19	0.026356755420565606	0.5074743079365465
BCL11A	chr2	60007424	60007524	20	0.028840740602463485	0.3121625401079166
BCL11A	chr2	60007524	60007624	21	0.03047616433352232	0.22878369233038207
BCL11A	chr2	60007624	60007724	22	0.03201892944052816	0.39047729543048426
BCL11A	chr2	60007724	60007824	23	0.04184659205377102	0.22878369233038207
BCL11A	chr2	60007824	60007924	24	0.04386639166623354	0.1948219459270416
BCL11A	chr2	60007924	60008024	25	0.0655855718255043	0.0
BCL11A	chr2	60008024	60008124	26	0.09862737722694874	0.0
BCL11A	chr2	60008124	60008224	27	0.10563820153474808	0.3483719949709814
BCL11A	chr2	60008224	60008324	28	0.10703565441071987	0.10295266154867193
BCL11A	chr2	60008324	60008424	29	0.09720939755439759	0.45756738466076413
BCL11A	chr2	60008424	60008524	30	0.06911181047558784	0.0
BCL11A	chr2	60008524	60008624	31	0.044308947883546355	0.0
BCL11A	chr2	60008624	60008724	32	0.0579504531994462	0.0
BCL11A	chr2	60008724	60008824	33	0.046821543239057066	0.0
BCL11A	chr2	60008824	60008924	34	0.04706712365150452	0.0
BCL11A	chr2	60008924	60009024	35	0.03790412528440356	0.0
BCL11A	chr2	60009024	60009124	36	0.031309183407574895	0.22878369233038207
BCL11A	chr2	60009124	60009224	37	0.030153851304203273	0.0
BCL11A	chr2	60009224	60009324	38	0.029530476480722427	0.45756738466076413
BCL11A	chr2	60009324	60009424	39	0.03056235460564494	0.0
BCL11A	chr2	60009424	60009524	40	0.0407949186861515	0.13198204581334577
BCL11A	chr2	60009524	60009624	41	0.046308426782488823	0.12583103078171015
BCL11A	chr2	60009624	60009724	42	0.04640867277979851	0.5151191151895765
BCL11A	chr2	60009724	60009824	43	0.04613749448210001	0.22878369233038207
BCL11A	chr2	60009824	60009924	44	0.03973092846572399	0.45756738466076413
BCL11A	chr2	60009924	60010024	45	0.03481309907510877	0.0951738398402705
BCL11A	chr2	60010024	60010124	46	0.043008319884538654	0.22878369233038207
BCL11A	chr2	60010124	60010224	47	0.04591607924550772	0.0
BCL11A	chr2	60010224	60010324	48	0.039446173124015334	0.22878369233038207
BCL11A	chr2	60010324	60010424	49	0.03642529867589474	0.0
BCL11A	chr2	60010424	60010524	50	0.02440021710470319	0.0
BCL11A	chr2	60010524	60010624	51	0.019198737740516662	0.0
BCL11A	chr2	60010624	60010724	52	0.017109670536592604	0.0
BCL11A	chr2	60010724	60010824	53	0.014116837037727236	0.22878369233038207
BCL11A	chr2	60010824	60010924	54	0.013043333077803254	0.5132751221178902
BCL11A	chr2	60010924	60011024	55	0.011345129972323776	0.3048360202463549
BCL11A	chr2	60011024	60011124	56	0.010602153968065978	0.3202971692625349
BCL11A	chr2	60011124	60011224	57	0.00959146149456501	0.3660539077286113
BCL11A	chr2	60011224	60011324	58	0.008702276414260269	0.17158776924778654
BCL11A	chr2	60011324	60011424	59	0.008472571084275841	0.28597961541297756
BCL11A	chr2	60011424	60011524	60	0.008017790406011045	0.22878369233038207
BCL11A	chr2	60011524	60011624	61	0.007771094455383718	0.22878369233038207
BCL11A	chr2	60011624	60011724	62	0.007056345017626881	0.0
BCL11A	chr2	60011724	60011824	63	0.006425956948660314	0.1948219459270416
BCL11A	chr2	60011824	60011924	64	0.00574444392696023	0.0
BCL11A	chr2	60011924	60012024	65	0.005635123820975423	0.0
BCL11A	chr2	60012024	60012124	66	0.006206347760744393	0.0
BCL11A	chr2	60012124	60012224	67	0.005245092362165451	0.0
BCL11A	chr2	60012224	60012324	68	0.005952385775744915	0.0
BCL11A	chr2	60012324	60012424	69	0.005488525247201324	0.0
BCL11A	chr2	60012424	60012524	70	0.005383658367209137	0.0
BCL11A	chr2	60012524	60012624	71	0.005288076209835708	0.0
BCL11A	chr2	60012624	60012724	72	0.005454859989695251	0.0
BCL11A	chr2	60012724	60012824	73	0.005585563136264682	0.0
BCL11A	chr2	60012824	60012924	74	0.005704514137469232	0.0
BCL11A	chr2	60012924	60013024	75	0.006422974737361074	0.0
BCL11A	chr2	60013024	60013124	76	0.007910220958292484	0.0
BCL11A	chr2	60013124	60013224	77	0.009475136930122972	0.22878369233038207
BCL11A	chr2	60013224	60013324	78	0.013340914035215973	0.0
BCL11A	chr2	60013324	60013424	79	0.016243015676736833	0.22878369233038207
BCL11A	chr2	60013424	60013524	80	0.018373958822339772	0.0
BCL11A	chr2	60013524	60013624	81	0.02484867947176099	0.0
BCL11A	chr2	60013624	60013724	82	0.06627740774303675	0.14870940001474836
BCL11A	chr2	60013724	60013824	83	0.09591098971664906	0.30885798464601577
BCL11A	chr2	60013824	60013924	84	0.11032117903232574	0.22878369233038207
BCL11A	chr2	60013924	60014024	85	0.11230462118983268	0.30697665896898235
BCL11A	chr2	60014024	60014124	86	0.0801318072527647	0.17560393960212106
BCL11A	chr2	60014124	60014224	87	0.06322364650666713	0.22878369233038207
BCL11A	chr2	60014224	60014324	88	0.04213716063648462	0.10142714331785534
BCL11A	chr2	60014324	60014424	89	0.033622545190155506	0.22878369233038207
BCL11A	chr2	60014424	60014524	90	0.028158124946057798	0.22878369233038207
BCL11A	chr2	60014524	60014624	91	0.024730683006346225	0.0
BCL11A	chr2	60014624	60014724	92	0.016335225198417902	0.0
BCL11A	chr2	60014724	60014824	93	0.013676826497539879	0.0
BCL11A	chr2	60014824	60014924	94	0.01113004115410149	0.0
BCL11A	chr2	60014924	60015024	95	0.009385081781074405	0.1268984531203607
BCL11A	chr2	60015024	60015124	96	0.00865487582050264	0.343175538495573
BCL11A	chr2	60015124	60015224	97	0.008951467676088214	0.3431755384955731
BCL11A	chr2	60015224	60015324	98	0.008828922612592579	0.4151152016565886
BCL11A	chr2	60015324	60015424	99	0.011024395963177084	0.0
BCL11A	chr2	60015424	60015524	100	0.012889476735144853	0.0
BCL11A	chr2	60015524	60015624	101	0.014955627741292119	0.22878369233038207
BCL11A	chr2	60015624	60015724	102	0.018017151821404696	0.22878369233038207
BCL11A	chr2	60015724	60015824	103	0.02180470008403063	0.0
BCL11A	chr2	60015824	60015924	104	0.022958358358591793	0.0
BCL11A	chr2	60015924	60016024	105	0.038441286347806455	0.0
BCL11A	chr2	60016024	60016124	106	0.053039808738976714	0.0
BCL11A	chr2	60016124	60016224	107	0.07413789756596088	0.0
BCL11A	chr2	60016224	60016324	108	0.06546320281922817	0.0
BCL11A	chr2	60016324	60016424	109	0.07559053532779217	0.0
BCL11A	chr2	60016424	60016524	110	0.05327680436894298	0.22878369233038207
BCL11A	chr2	60016524	60016624	111	0.023589293044060468	0.0
BCL11A	chr2	60016624	60016724	112	0.02065789679065347	0.07595583351535
BCL11A	chr2	60016724	60016824	113	0.019005142599344254	0.0
BCL11A	chr2	60016824	60016924	114	0.019084237813949585	0.0
BCL11A	chr2	60016924	60017024	115	0.01976716911420226	0.0
BCL11A	chr2	60017024	60017124	116	0.02202902927994728	0.0
BCL11A	chr2	60017124	60017224	117	0.024343951251357795	0.0
BCL11A	chr2	60017224	60017324	118	0.027037978433072568	0.0
BCL11A	chr2	60017324	60017424	119	0.030707441531121732	0.0
BCL11A	chr2	60017424	60017524	120	0.0644254058599472	0.0
BCL11A	chr2	60017524	60017624	121	0.07456899628043175	0.0
BCL11A	chr2	60017624	60017724	122	0.09033267170190812	0.0
BCL11A	chr2	60017724	60017824	123	0.06136829562485218	0.0
BCL11A	chr2	60017824	60017924	124	0.08119383588433265	0.0
BCL11A	chr2	60017924	60018024	125	0.04596895176917314	0.0
BCL11A	chr2	60018024	60018124	126	0.02375745549798012	0.0
BCL11A	chr2	60018124	60018224	127	0.02309659291058779	0.15674174072341743
BCL11A	chr2	60018224	60018324	128	0.02118832018226385	0.2516620615634203
