chrom	region	pair	partition	bin_size_bp	n_bins_selected	pearson_r	spearman_rho	r_squared	f1_median_labels	auroc_a_centric	aupr_a_centric	auroc_b_centric	aupr_b_centric	cutoff_a	cutoff_b	label_a	label_b
chr2	chr2:0-242193529	atac_vs_predict	bg	100	2411763	0.5359187507215548	0.4448149608021552	0.287208907374952	0.666667035230664	0.9602991505795347	0.9999999835013377	0.6866943918666133	0.675991515630396	0.7251269892826826	0.3084383625157409	ATAC	Predict
chr2	chr2:0-242193529	atac_vs_predict	peak	100	10173	0.3762091351765642	0.38982958297479203	0.14153331339029834	0.6709258895223118	0.699934702824414	0.7403861538610627	0.7228649922338336	0.6959122653882919	0.7251269892826826	0.3084383625157409	ATAC	Predict
chr2	chr2:0-242193529	atac_vs_chip	bg	100	1989509	0.14597810447507156	0.17417751163108416	0.021309606986134908	0.9999997486816468	0.7060182718541469	0.9999997044680589	0.6928514486998796	0.9999996912318053	0.7251269892826826	0.06640935945279643	ATAC	ChIP
chr2	chr2:0-242193529	atac_vs_chip	peak	100	432427	-0.013027656876206547	0.07166649810434078	0.0001697198436841717	0.5326626687692078	0.5357378733188022	0.5394891892693914	0.5403311756806874	0.5244755938295814	0.7251269892826826	0.06640935945279643	ATAC	ChIP
chr2	chr2:0-242193529	predict_vs_chip	bg	100	1988906	0.32846124553340716	0.3776081480812831	0.10788678981735719	0.6666666666666666	0.6625705085448419	0.6252903302635242	0.952374799198554	0.9999999759882784	0.3084383625157409	0.06640935945279643	Predict	ChIP
chr2	chr2:0-242193529	predict_vs_chip	peak	100	433030	0.05084968715679871	0.14772798673422205	0.0025856906839443	0.561592462590061	0.573090492632741	0.5745817990272808	0.5843490284980191	0.5563291036420275	0.3084383625157409	0.06640935945279643	Predict	ChIP
chr10	chr10:0-133797422	atac_vs_predict	bg	100	1331697	0.5446042995672696	0.45096169505199696	0.29659384310715636	0.6666673341526724	0.9897093630978842	0.9999999845450773	0.6920631990993635	0.6821176055980112	0.6936377161989539	0.3124809187836558	ATAC	Predict
chr10	chr10:0-133797422	atac_vs_predict	peak	100	6278	0.35279992616298356	0.3677882515126826	0.12446778790060666	0.6718700223000956	0.6977146081001522	0.7461141935322936	0.7165416614357738	0.6835018980040926	0.6936377161989539	0.3124809187836558	ATAC	Predict
chr10	chr10:0-133797422	atac_vs_chip	bg	100	1046893	0.13899720253518374	0.16934031656164164	0.01932022231260689	0.9999995223960435	0.7293889914145872	0.9999994830206934	0.7023159982118499	0.9999994313000437	0.6936377161989539	0.06438138597094664	ATAC	ChIP
chr10	chr10:0-133797422	atac_vs_chip	peak	100	291082	-0.017120428264148526	0.07028188448491524	0.0002931090639478557	0.5300409829037845	0.5352298766601566	0.5368199390291175	0.5381435359837287	0.5225679430700872	0.6936377161989539	0.06438138597094664	ATAC	ChIP
chr10	chr10:0-133797422	predict_vs_chip	bg	100	1046657	0.31562171586311594	0.36975348391256496	0.09961706752437749	0.6666670912989033	0.6651385409896639	0.6246284032127316	0.98695846581876	0.9999999750796408	0.3124809187836558	0.06438138597094664	Predict	ChIP
chr10	chr10:0-133797422	predict_vs_chip	peak	100	291318	0.042583275305197024	0.14158583317750523	0.0018133353357182027	0.5572466155916193	0.5675428102249108	0.5691217622028651	0.5810106204848187	0.5541382844018505	0.3124809187836558	0.06438138597094664	Predict	ChIP
